"Dorothy Forster : a novel /--- v.1","uiuo.ark:/13960/t5h99d66w"
"Lost for love : a novel /--- v.3","uiuo.ark:/13960/t19k4w11x"
"The Hampstead mystery : a novel /--- v.3","uiuo.ark:/13960/t2988r476"
"The king's mirror; a novel,","uc2.ark:/13960/t07w6fx15"
"The coast of Bohemia; a novel,","coo1.ark:/13960/t8x92rx3w"
"Aubrey : a novel.--- v. 4","nyp.33433074951975"
"From post to finish : a novel /--- v.2","uiuo.ark:/13960/t1wd4h329"
"L'avril, a novel;","uc2.ark:/13960/t6c24t761"
"Long odds a novel /","aeu.ark:/13960/t1zc8nm4f"
"The street called Straight : a novel /","nyp.33433074791488"
"Allanston; or, The infidel : a novel /--- v.1","umn.31951002081873l"
"The government official. A novel.--- v.3","uiuo.ark:/13960/t6834dz6w"
"Phases of an inferior planet [a novel]","uc2.ark:/13960/t2d796b6r"
"A doctor of philosophy [a novel]","uc2.ark:/13960/t10p0wx6q"
"The match girl, a novel.--- v.1","uiuo.ark:/13960/t6446cn0d"
"A house of gentlefolk; a novel,","mdp.39015011895177"
"A Tennessee judge; a novel,","uc2.ark:/13960/t0ks6j95b"
"Peg Woffington, a novel,","miun.aba9503.0001.001"
"Luca Sarto; a novel, a history of his perilous journey into France in the year fourteen hundred and seventy-one,","uc2.ark:/13960/t24b2xb7t"
"The Hermit : a novel /--- v.2","uiuo.ark:/13960/t4dn4qn2v"
"Grace Cassidy, or, The repealers. : a novel, /--- v.3","uiuo.ark:/13960/t06w9mr29"
"The miracles of Antichrist : a novel /","mdp.39015005209807"
"John Ward, preacher : a novel /","uc2.ark:/13960/t3ws8k94n"
"Atlantis; a novel","coo1.ark:/13960/t0bv8234n"
"Peter, a novel of which he is not the hero,","uc2.ark:/13960/t5j961j1k"
"Alas! : a novel /--- v.1","uc2.ark:/13960/t5gb23099"
"Within the maze : a novel /","uc2.ark:/13960/t1dj5m49s"
"The amulet; a novel,","uc1.b3326480"
"Loving and loth. A novel.--- v.1","uiuo.ark:/13960/t19k4v47r"
"Woman and the shadow : a novel /","uc2.ark:/13960/t3ws8kb62"
"Denzil Quarrier : a novel / by George Gissing.","nnc1.cu54880670"
"The master of the ceremonies, a novel,--- v.1","njp.32101037077326"
"La Novela teatral.--- no.241-253 July-Sept. 1921","iau.31858020338954"
"Not while she lives : a novel /--- v.2","uiuo.ark:/13960/t6c258k0c"
"Man and wife : a novel /","nc01.ark:/13960/t5r795m5c"
"The lady of New Orleans : a novel of the present /","nc01.ark:/13960/t5t72dt7w"
"A romance of modern London : a novel /--- v.2","uiuo.ark:/13960/t52f87g8b"
"A house party : a novel /","uc2.ark:/13960/t78s4tb5g"
"The times, a novel.--- v.1","uiuo.ark:/13960/t50g49r8z"
"The white prophet; a novel,","uc2.ark:/13960/t9g44pv4x"
